text,intent
How the Who the moved my should I knock the landlord,anger
So my Indian Uber driver just called someone the N If I in a moving vehicle have jumped out,anger
I asked for my parcel to be delivered to a pick up store not my address,anger
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep,anger
join they put the phone down on talk over you and are Taking money out of my acc,anger
My blood is boiling,anger
When still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us,anger
why does tracking show my equipment when it Why is my service suddenly already,anger
legit why i am so furious with people are such fucking,anger
How is it suppose to work if you do Wtf Thanks for pissing me,anger
im so mad about power im im,anger
Wont use using These guys cant get nothing,anger
Bitches aggravate like what inspires you to be the biggest cunt known to man,anger
does have to come to Glasgow on a night I am I am fucking been waiting for an appearance for ages,anger
Fuking fuming,anger
Zero help from customer Just pushing the buck back and forth and promising callbacks that,anger
not to mention the GRA guy stops me but the ppl in front of me My blood is,anger
hate my lawn If it had a condemn it to the fiery pits of,anger
why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger
about to block everyone everywhere posting about the I think everyone is aware of the damn rain and what not so,anger
Making my buddy cry Bitch wait for revenge,anger
You just tell a true blooded hoopjunkie to switch a team that juz destroyed your own You juz,anger
I got a NO RESPONSE again from an customer of they understand that not always amazon,anger
if you taser someone why the fuck do you need to shoot them one second This is really,anger
The way my blood is little,anger
Actually fuming I have nothing to wear Saturday,anger
than straight Even the arse straight guys who think that means a threesome is,anger
Bloody parking ticket,anger
You ever just find that the people around you really irritate you me right now,anger
I get so angry at people that know that you have a stop sign on Francis and you do at Foster,anger
fuck you is boiling up its not gonna be good when I let it,anger
My bill is and hav a text from u to prove that and you have taken,anger
I blame the whole season on The season would have been so different had she not turned her back on her,anger
Since the my loses power nearly,anger
about to fly into a fit of rage not FAIR,anger
Unbelievable takes minutes to get through to then a fault and the call hangs up,anger
We are blaming of the fucking idiots who are putting the World in the middle of their You are,anger
infuriate,anger
Mine is that the party did decide but the party has been slowly transformed into a vengeful of white male resentment,anger
So about my ago I placed an order of over Card Never,anger
Still log into my fucking,anger
yes we Not helpful at We need this sorting You keep promising stuff that,anger
LET SNAKES IN MY I BET IT I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM,anger
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep,anger
does have to come to Glasgow on a night I am I am fucking been waiting for an appearance for ages,anger
i feel furious,anger
Some Mexican ladies irritate the fuck outta Have a their own lil preschool of fucking kids for the welfare allllat,anger
Still log into my fucking Snapchat,anger
I blame the whole season on The season would have been so different had she not turned her back on her,anger
People irritate my MF soul,anger
Im so angry,anger
People fuckin irritate me,anger
you are a cruel,anger
That way ur so angry you can literally feel ur blood boiling,anger
this amount of greedy mooching makes me,anger
My mind is raging and i just want to end it all,anger
Absolutely fuming that some woman jumped into my prebooked taxi and drove off,anger
nothing but a hateful and bitter fag,anger
something needs to be done about people hogging machines nobody can use machines at one,anger
Ikr people still got a grudge against him for no reason like,anger
then he said talking about wills uncontrollable animals when moving to another These comments do not,anger
bad news if ordered online it gone through same happened to me had to re order on the phone,anger
So angry I wanna,anger
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH,anger
Boycotting till butter pecan comes I am furious,anger
Black people are STILL fighting to be recognized as human,anger
my mom cut my phone off and so furious,anger
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger
believe Achilles killed,anger
I lost a couple niggas I want revenge so put me in coach,anger
then poor packaging my Amazon and the fulfilled seller should be furious as much as you,anger
your outrage when a black man kills another black man in the,anger
it makes me so fucking irate nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger
Absolutely fuming just scratched all my car,anger
holy shit it just a bee sting like fuck not dying,anger
How the Who the moved my should I knock the landlord,anger
I dislike people who get offended by the littlest shit,anger
the fuck am I supposed to do with no no no money and off to work,anger
it if one person ruins season for I will be so,anger
the fuck am I supposed to do with no no no money and off to work,anger
not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work reply,anger
So my Indian Uber driver just called someone the N If I in a moving vehicle have jumped out,anger
liberal outrage over don king saying the really angers The white yuppie progressives can go fuck shame on,anger
Just paid for chicken at and even get any there goes dollars and me as a customer,anger
but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger
you have had from me over the years is Its an absolute,anger
Part buzzing for a cheeky squashie or was NOT what i IT,anger
if you taser someone why the fuck do you need to shoot them one second This is really,anger
You just tell a true blooded hoopjunkie to switch a team that juz destroyed your own You juz,anger
fucked my coupon that,anger
LVG bribed all the refs against Utd for his own personal That was a foul you,anger
that the whole clown rage has scared me gonna go cry in my,anger
Worst juror You were biggest,anger
Your twitter picture just makes me,anger
you are a cruel,anger
really it for my madden career that game sucks ea sports does a piss poor job every year on that,anger
from San and I was offended right there with go on a walk or something next,anger
something needs to be done about people hogging machines nobody can use machines at one,anger
I wonder what American city will be next to protest about police,anger
another angry white,anger
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES,anger
majority of people irritate the fuck out of cba with people,anger
a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter,anger
Wont use using These guys cant get nothing,anger
provoke me to anger,anger
You complain all the time and then wonder why people never want to see You acc rile me,anger
Bloods boiling,anger
it on of carpet,anger
wallah my blood is boiling I need to take a nap ugh,anger
I swear if blocks me going to hit her back,anger
I am angry at the student for being a and the teacher for not stopping and at the class for letting it go,anger
about to block everyone everywhere posting about the I think everyone is aware of the damn rain and what not so,anger
just a fuming ball of anger today,anger
I find out about this till today due to my bff telling I am so disgusted and offended by,anger
thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA,anger
A not turning Why am I not Late for work,anger
Police NOT have the right to just human beings without,anger
angry already,anger
flat party and I instantly get bollocked about,anger
add tracking but resent them,anger
This man is an affront to our justice,anger
LET SNAKES IN MY I BET IT I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM,anger
the blog says Simon Stehr faking expect an investigation This is an,anger
black armed thug with a record carrying gun illegally gets shot by black This is a em destroy their town,anger
wakes up and says you tried changing her,anger
Someone needs to tell Candice be stuck with that shitty pout if the wind,anger
turn that shit Home Button under did innovation become mind,anger
I just love it when people make plans for me without actually including me in this process,anger
remove ideologically bankrupt and opportunistic establishment burning all bridges and social,anger
your outrage that your party nominated a corrupt And received donations from nations who support,anger
how can you even forget to pick ur fave child up from school,anger
I get so angry at people that know that you have a stop sign on Francis and you do at Foster,anger
they irritate Them and their inch thick made up masks,anger
fucked my coupon that,anger
How was Natalie one of the top three and,anger
Democrats and their voters have zero tolerance for They associate honesty with anger and,anger
The said MANY times to explain away the brutal killings of by,anger
we brothers protect one No and it makes me be just think of,anger
wakes up and says you tried changing her,anger
you have had from me over the years is Its an absolute,anger
All hell is breaking loose in,anger
this guy Eish that guy brings anger into my When I see him nje like darkness fills me will know,anger
i had an hour of football practice under the boiling sun and now i have volleyball practice under the BOILING SUN AGAIN,anger
testing,anger
put so much artefact points into fury and cant literally wasted month of my Thanks blizzard,anger
How is it suppose to work if you do Wtf Thanks for pissing me,anger
i was,anger
That feel when you travel miles to pick up a form that arrives in the post two days after you,anger
your Free month has been Then charges the same Absolutely furious,anger
Hell hath no fury like a women the Not the parenting,anger
straight people are canoodling on the quad and,anger
can definitely feel my irritation lord give me,anger
against Chelsea anything is possible fuming about that bet,anger
When you break a record in I wish it say the same shit after every rush like you just broke the,anger
apparently you are to contact Sofas were meant to be delivered Old ones Sitting on No,anger
I have rabid grizzly bears going to scatter in neighborhoods all over poor,anger
why dont want when its black on black They only and cry when its a,anger
be I hope that annoying Southern bint with the at pout goes out this Selasi,anger
Zero help from customer Just pushing the buck back and forth and promising callbacks that,anger
I hate him lol,anger
what a Cut our internet off early and then reinstate it when we no longer need an engineer,anger
yeah I received a fine today which I am furious currently appealing it after being a member for so,anger
People irritate me,anger
Men in rage strike those that wish them,anger
Black people are STILL fighting to be recognized as human,anger
I swear if blocks me going to hit her back,anger
what a Cut our internet off early and then reinstate it when we no longer need an engineer,anger
unarmed blacks killed by white cops in That many die every month in Chicago wheres the,anger
why does tracking show my equipment when it Why is my service suddenly already,anger
Does she really need to pout all the time getting on my nerves,anger
Ever put your fist through your laptops If so its time for a new one lmao,anger
Maybe also being attacked by rabid fans to whom he his clothes were always perfect also put me off,anger
future big brother just chase dick all season and you too can win dollars and an Sti,anger
Nobody in that street burning and looting and terrifying innocent citizens was,anger
and still the some your,anger
Forgot to eat dinner and now furious with everything and everyone,anger
the girl sitting in front of me is chewing her gum like a cow im ready to snap,anger
both are If injustice against why add to it by destroying black misdirected,anger
Can someone make me a priority list of which things I should be outraged at in which,anger
My bill is and hav a text from u to prove that and you have taken,anger
You a fuck boy if you run drag routes back to back in madden,anger
I got fever got boiling blood,anger
he has BAD TEMPERAMENT,anger
I even right now,anger
after the Doggies barracking for Anyone But,anger
Why are people that have iPhones so bitter about Can someone explain,anger
The guy who calls people and is is offended by idea that he might not be,anger
always unhappy and easily,anger
shameful display I watched today has left me reeling with so much anger dt I feel like those clowns should watch,anger
All hell is breaking loose in,anger
When still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us,anger
Half of Epicenter is shut down its police all over I just burst out in tears this is fucking terrible,anger
Not giving a fuck is better than,anger
we about to get shit on by the wrath of winter out of nowhere,anger
WHY Why did u want to offend,anger
unarmed blacks killed by white cops in That many die every month in Chicago wheres the,anger
I think Monalisa has respect for anyone but I think ruffle a few,anger
I asked for my parcel to be delivered to a pick up store not my address,anger
Thought the Xbox one s madden bundle would come with a physical copy of madden not a gonna take fucking forever to download lol,anger
he has BAD TEMPERAMENT,anger
is so for satan to test by the of,anger
The new gun emoji in is not enough to show the anger I have towards a number of,anger
she is just jealous and a cry,anger
I just wanna know why no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger
Forever angry that gh ruined Molly and,anger
Spurs radio commentator referred to Mauricio Pochettino as and I felt a sudden surge of,anger
We have a sprint the slowest team in the Talk about robbing a,anger
believe only got days off left,anger
Taking a break from the to at the general of certain on the,anger
Ever put your fist through your laptops If so its time for a new one lmao,anger
brother grabbed me in a aggressive manner and as always threw tantrums like a kid only knowing how to express,anger
join they put the phone down on talk over you and are Taking money out of my acc,anger
I assure you there is no but increasing anger at the and arrogance of,anger
need a way to corrupted This fury of constant pain need a,anger
I love my black I really really But my people really do irritate the living hell outta me all cause,anger
I talk about politics because people nowadays get offended,anger
oh I HATE the air raid and I like the offense and not a fan of the ole miss one either,anger
not received verification asked for it to be resent times still,anger
Unbelievable takes minutes to get through to then a fault and the call hangs up,anger
No justification for shooting without even if the person has a bad Justification is not the way to,anger
I genuinely think I have anger issues,anger
Im honestly offended,anger
Michelle is one of the worst players in bb history,anger
so YouTube is burning itself to the ground,anger
can I tell Happy when u are not,anger
Just paid for chicken at and even get any there goes dollars and me as a customer,anger
forget that cancelled to allow them to extend so people could call in and detail their outrage after our,anger
When someone rudely says all women should have long hair and your inner feminist tries not to rage,anger
raging at the changes to what a,anger
Girls irritate me so much lol,anger
waiting for you to figure out from to real quick with the,anger
listen yh provoke me cos make you cry,anger
Did you even give out any pizzas Serious fail,anger
Bloody parking ticket,anger
apparently you are to contact Sofas were meant to be delivered Old ones Sitting on No,anger
yes we Not helpful at We need this sorting You keep promising stuff that,anger
like the rape apologists who make men sound like mindless With friends like,anger
And she got all angry telling me what would be doing a year old guy looking for a girl like and I felt,anger
shot by black police woman Typical looney toon,anger
sex offense happens across ALL and creeds they should be,anger
Prudence suggests that a bump over weeks should be viewed with axis,anger
a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other,anger
that is one thing but attacking and hating is worse that makes us just like the angry vengeful behavior we detest,anger
Delete this shit Josh just screenshotted my snap me,anger
Can someone make me a priority list of which things I should be outraged at in which,anger
Just me spitting venom because still bitter with Like an old man yelling from his,anger
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG,anger
I wonder what would happen if I were to tell some people the truth,anger
will never find someone who loved you like I And that my will be my,anger
A not turning Why am I not Late for work,anger
you be which may be the which may be see that the sudden excitement does not become,anger
even begin to describe these fiery little demons straight from hell,anger
I am just so bitter today,anger
Meanwhile white cops keep killing black But less outrage about Strange society,anger
her team must draw from a hat for daily personality,anger
Heading home to cut grass in the All I wanna do is go out to eat somewhere air,anger
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH,anger
i will never watch greys anatomy ever ever ever ever ever again if Shonda Rimes takes away another OG,anger
specific intentional And part of that intention is to provoke conversation around systemic racism towards,anger
I gave up KENDRICK LAMAR to eat barbecue with,anger
then he said talking about wills uncontrollable animals when moving to another These comments do not,anger
sorry just angry my drone flew away,anger
id be fuming,anger
shut up hashtags are cool,anger
know you trusted His words were soft as he ignored the anger and focused on the hurt know I screwed,anger
I wonder what American city will be next to protest about police,anger
Why mfs so bitter,anger
on holiday for the next,anger
Did we miss the fact that swung his sister in the face with a golf club previously out of a fit of,anger
The point of voting for Trump to push all the pieces off the board game like an angry Wreck everything for,anger
if you aggravate me,anger
RIP to the of black killed in Where is the,anger
Inpouring this letter we are dying over against subsist checking quaint virtuoso ways toward fine huff yours,anger
hitting your children as discipline because being quite a raging hypocrite if,anger
